Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
47,443,5.004,100,401,Valid
48,11,5.514,108,283,Valid
48,603,6.518,100,346,Valid
49,163,6.386,102,344,Valid
49,691,6.106,115,360,Valid
50,244,5.885,111,227,Valid
50,772,6.447,110,347,Valid
51,324,6.203,108,350,Valid
51,868,6.055,111,290,Valid
52,412,6.088,108,295,Valid
52,964,6.038,108,319,Valid
53,516,6.109,107,321,Valid
54,92,6.063,105,307,Valid
54,668,5.951,105,286,Valid
55,212,6.19,107,353,Valid
55,772,5.974,110,284,Valid
56,316,6.314,107,356,Valid
56,868,6.068,111,277,Valid
57,404,5.959,110,298,Valid
57,956,6.035,108,330,Valid
58,524,6.269,105,359,Valid
59,68,5.951,113,242,Valid
59,580,6.081,111,316,Valid
60,125,5.786,111,325,Valid
60,685,5.441,111,199,Valid
61,197,5.837,110,315,Valid
61,741,5.636,110,273,Valid
62,285,5.215,115,218,Valid
62,813,5.293,108,282,Valid
63,365,5.225,111,266,Valid
63,885,5.293,113,269,Valid
64,421,5.707,111,304,Valid
64,981,5.944,107,330,Valid
65,509,5.89,115,285,Valid
66,61,6.088,107,308,Valid
66,621,5.87,108,293,Valid
67,173,6.172,107,336,Valid
67,709,6.243,113,321,Valid
68,269,6.185,107,278,Valid
68,813,5.989,108,322,Valid
69,350,5.57,115,214,Valid
69,886,5.278,108,241,Valid
70,406,5.011,119,221,Valid
70,918,5.182,113,275,Valid
71,446,5.38,113,305,Valid
71,982,5.58,111,307,Valid
72,526,5.304,113,214,Valid
73,38,5.103,117,203,Valid
73,574,4.897,108,251,Valid
74,86,4.435,122,147,Valid
76,102,5.735,,525,Valid
76,646,6.701,110,427,Valid
77,182,7.257,110,520,Valid
77,774,7.76,101,486,Valid
78,375,7.529,102,421,Valid
78,943,7.93,105,444,Valid
79,519,8.136,102,469,Valid
80,111,8.364,102,482,Valid
80,695,8.331,102,440,Valid
81,279,8.199,104,396,Valid
81,855,8.161,104,418,Valid
82,431,8.204,104,405,Valid
82,991,8.354,105,482,Valid
83,575,8.438,104,445,Valid
84,143,8.529,104,458,Valid
84,719,8.527,104,464,Valid
85,303,8.611,102,458,Valid
85,871,8.504,107,402,Valid
86,431,8.263,105,433,Valid
87,15,8.174,102,450,Valid
87,608,8.349,101,452,Valid
88,176,8.364,105,432,Valid
88,752,8.666,104,474,Valid
89,336,8.341,105,388,Valid
89,904,8.512,102,484,Valid
90,488,8.768,102,452,Valid
91,72,8.722,104,432,Valid
91,640,8.514,105,418,Valid
92,232,8.463,100,462,Valid
92,800,8.628,107,450,Valid
93,360,8.545,107,443,Valid
93,944,8.639,101,496,Valid
94,512,8.504,107,432,Valid
95,96,8.674,101,496,Valid
95,680,8.451,104,419,Valid
96,265,8.611,101,493,Valid
96,873,8.608,97,488,Valid
97,465,8.217,104,383,Valid
98,17,8.247,108,367,Valid
98,601,8.207,102,431,Valid
99,185,8.164,101,438,Valid
99,769,7.826,104,391,Valid
100,337,8.052,104,483,Valid
100,921,8.146,102,460,Valid
101,489,8.352,105,494,Valid
102,65,8.405,104,508,Valid
102,657,8.301,102,434,Valid
103,225,8.265,104,441,Valid
103,785,8.095,108,402,Valid
104,353,8.194,104,450,Valid
104,921,8.075,105,428,Valid
105,497,8.009,104,449,Valid
106,57,7.818,108,384,Valid
106,626,8.011,102,465,Valid
107,226,8.021,100,460,Valid
107,810,7.549,105,362,Valid
108,378,7.49,104,390,Valid
108,954,7.775,104,435,Valid
109,538,7.328,101,400,Valid
110,154,7.371,98,428,Valid
110,706,7.529,110,401,Valid
111,258,7.78,107,427,Valid
111,842,7.739,102,436,Valid
112,426,7.617,102,431,Valid
113,10,7.747,102,422,Valid
113,578,7.757,105,464,Valid
114,162,8.052,102,467,Valid
114,738,8.174,104,479,Valid
115,323,8.158,104,430,Valid
115,883,8.278,105,441,Valid
116,459,8.453,104,469,Valid
117,27,8.453,105,444,Valid
117,611,8.486,102,485,Valid
118,195,8.354,104,416,Valid
118,779,8.247,100,456,Valid
119,371,8.242,102,467,Valid
119,947,8.151,104,442,Valid
120,523,8.288,105,452,Valid
121,99,8.202,104,426,Valid
121,659,8.047,107,420,Valid
122,227,8.029,104,449,Valid
122,827,7.897,98,451,Valid
123,427,8.037,101,458,Valid
123,995,7.808,107,406,Valid
124,556,7.803,104,409,Valid
125,132,7.818,105,395,Valid
125,692,7.864,107,421,Valid
126,260,7.737,105,420,Valid
126,820,7.691,108,378,Valid
127,380,7.704,107,417,Valid
127,940,7.813,105,433,Valid
128,492,7.587,108,398,Valid
129,60,7.795,105,436,Valid
129,644,7.59,102,420,Valid
130,324,6.901,110,239,Valid
130,892,6.85,86,345,Valid
131,564,7.043,87,437,Valid
132,212,6.744,94,352,Valid
132,788,7.694,102,456,Valid
133,381,8.064,101,454,Valid
133,949,8.131,105,451,Valid
134,517,8.095,105,455,Valid
135,85,8.141,105,442,Valid
135,653,8.019,107,368,Valid
136,213,7.938,104,450,Valid
136,789,7.762,107,384,Valid
137,341,7.856,107,404,Valid
137,901,7.828,108,468,Valid
