Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
5,801,2.621,100,69,Valid
6,305,2.751,111,125,Valid
6,849,2.725,111,140,Valid
7,393,2.598,110,128,Valid
7,921,2.512,113,135,Valid
8,449,2.436,115,104,Valid
8,969,2.515,111,128,Valid
9,521,2.52,110,126,Valid
10,73,2.603,105,130,Valid
10,594,2.466,117,131,Valid
15,122,3.051,49,128,Valid
15,642,2.817,117,149,Valid
16,154,2.502,117,118,Valid
16,658,2.433,117,112,Valid
17,130,2.37,127,113,Valid
17,618,2.393,119,144,Valid
18,154,2.304,115,110,Valid
18,674,2.342,117,106,Valid
19,179,2.377,117,98,Valid
19,683,2.583,117,145,Valid
20,187,2.438,122,118,Valid
20,723,2.596,108,144,Valid
21,267,2.715,110,154,Valid
24,867,2.494,,167,Valid
25,499,2.543,101,105,Valid
26,11,2.553,111,94,Valid
26,555,2.504,110,118,Valid
27,43,2.367,122,125,Valid
27,539,2.289,122,108,Valid
28,27,2.367,119,124,Valid
28,548,2.347,117,119,Valid
29,76,2.426,115,146,Valid
29,596,2.256,120,85,Valid
30,76,2.309,120,100,Valid
30,588,2.535,113,136,Valid
31,124,2.652,111,161,Valid
31,676,2.563,108,142,Valid
32,268,2.748,101,165,Valid
32,796,2.647,113,160,Valid
35,340,2.614,,182,Valid
35,948,2.344,108,56,Valid
36,436,2.649,111,91,Valid
36,972,2.898,115,172,Valid
37,452,2.568,119,167,Valid
38,20,2.339,115,73,Valid
38,517,2.342,110,115,Valid
39,61,2.446,111,150,Valid
39,621,2.446,110,122,Valid
40,125,2.367,119,106,Valid
40,613,2.545,120,122,Valid
41,125,2.545,117,135,Valid
41,661,2.479,113,113,Valid
42,157,2.479,119,139,Valid
42,701,2.51,110,133,Valid
43,221,2.629,113,154,Valid
43,773,2.71,108,142,Valid
50,790,2.286,,116,Valid
51,350,2.045,120,37,Valid
51,774,2.222,125,109,Valid
52,286,2.245,117,135,Valid
