Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
57,34,3.099,100,197,Valid
60,130,2.771,,150,Valid
61,570,2.992,42,99,Valid
62,2,2.764,136,101,Valid
62,506,2.664,122,80,Valid
62,978,2.431,127,109,Valid
63,451,2.319,129,66,Valid
63,899,2.413,129,102,Valid
64,355,2.466,129,74,Valid
64,827,2.512,127,124,Valid
65,283,2.474,133,90,Valid
65,739,2.497,131,104,Valid
66,203,2.525,129,92,Valid
66,675,2.568,127,106,Valid
67,147,2.583,127,93,Valid
67,619,2.697,122,126,Valid
68,115,2.558,122,104,Valid
68,627,2.441,119,97,Valid
69,123,2.499,117,124,Valid
69,635,2.545,117,129,Valid
70,147,2.621,119,128,Valid
70,659,2.675,115,134,Valid
71,163,2.705,120,129,Valid
71,699,2.781,110,140,Valid
72,212,2.743,117,130,Valid
72,708,2.87,119,171,Valid
73,228,2.885,119,114,Valid
73,724,3.018,119,156,Valid
74,236,2.87,120,124,Valid
74,740,3.048,115,156,Valid
75,228,3.112,122,144,Valid
75,740,3.223,117,166,Valid
76,244,3.142,120,146,Valid
76,772,3.218,111,150,Valid
77,300,3.277,113,153,Valid
77,820,3.223,117,137,Valid
78,316,3.117,120,137,Valid
78,844,3.056,113,115,Valid
79,356,3.17,115,161,Valid
79,884,3.249,113,177,Valid
80,404,3.34,117,150,Valid
80,908,3.401,117,167,Valid
81,404,3.437,120,177,Valid
81,956,3.472,108,184,Valid
82,453,3.203,125,126,Valid
82,949,3.236,119,147,Valid
83,461,3.038,117,114,Valid
83,957,3.114,119,162,Valid
84,445,3.254,122,184,Valid
84,933,3.289,127,149,Valid
85,405,3.226,127,105,Valid
85,845,3.416,131,161,Valid
86,341,3.218,122,145,Valid
86,861,3.322,115,148,Valid
87,349,3.312,122,139,Valid
87,805,3.411,131,151,Valid
88,301,3.35,120,149,Valid
88,789,3.317,122,139,Valid
89,261,3.299,127,125,Valid
89,757,3.366,119,156,Valid
90,269,3.447,117,176,Valid
90,765,3.348,122,145,Valid
91,254,3.282,122,135,Valid
91,750,3.35,120,148,Valid
92,246,3.287,120,131,Valid
92,750,3.035,119,117,Valid
93,254,3.175,117,152,Valid
93,774,3.279,115,151,Valid
94,278,3.264,120,142,Valid
94,766,3.218,125,141,Valid
95,254,3.147,120,143,Valid
95,726,3.254,127,152,Valid
96,198,3.218,127,159,Valid
96,702,3.282,119,166,Valid
97,206,3.18,120,116,Valid
97,710,3.292,115,139,Valid
98,238,3.297,115,134,Valid
98,742,3.178,119,138,Valid
99,254,3.053,117,136,Valid
99,766,2.875,120,103,Valid
100,231,2.992,122,130,Valid
100,751,3.299,113,177,Valid
101,263,3.299,117,165,Valid
102,895,2.502,,69,Valid
103,399,2.555,115,30,Valid
103,847,3.137,125,171,Valid
104,279,2.766,141,153,Valid
104,815,2.515,117,106,Valid
105,279,2.614,127,130,Valid
105,759,2.69,127,97,Valid
106,239,2.888,120,118,Valid
106,695,2.929,133,118,Valid
107,191,3.02,119,140,Valid
107,687,2.741,125,98,Valid
108,143,2.921,127,127,Valid
108,591,3.175,131,155,Valid
109,55,2.997,133,151,Valid
109,600,2.921,110,114,Valid
110,64,3.124,125,135,Valid
110,568,3.368,115,196,Valid
111,64,2.888,136,57,Valid
111,504,3.063,125,134,Valid
111,968,3.094,129,152,Valid
112,424,3.091,136,167,Valid
112,896,2.804,133,68,Valid
113,352,2.926,120,77,Valid
113,800,3.01,133,130,Valid
114,304,2.606,125,104,Valid
114,744,2.464,136,78,Valid
115,184,2.71,129,148,Valid
115,672,2.951,125,168,Valid
116,704,4.072,59,208,Valid
118,104,4.567,43,73,Valid
118,497,4.216,133,173,Valid
118,905,3.155,141,204,Valid
119,889,2.736,63,105,Valid
120,345,2.487,127,85,Valid
120,817,2.367,125,64,Valid
121,273,2.695,129,155,Valid
121,801,2.301,127,71,Valid
122,209,2.36,133,127,Valid
122,713,2.08,133,40,Valid
123,153,2.319,119,83,Valid
123,609,2.489,131,145,Valid
124,217,1.986,111,96,Valid
124,537,2.38,147,174,Valid
125,49,2.101,136,51,Valid
125,473,2.217,131,83,Valid
125,889,2.441,138,102,Valid
126,337,2.339,133,104,Valid
126,817,2.129,131,79,Valid
127,257,2.111,131,95,Valid
127,721,2.146,129,72,Valid
128,162,2.141,131,116,Valid
128,674,1.953,127,53,Valid
129,98,2.126,129,108,Valid
129,578,2.101,127,118,Valid
130,66,2.052,127,101,Valid
130,586,1.974,120,5,Valid
130,986,2.423,129,110,Valid
131,410,2.418,138,151,Valid
131,866,2.134,147,147,Valid
132,834,2.055,62,7,Valid
133,258,2.352,131,76,Valid
133,746,1.902,122,96,Valid
134,650,2.362,65,149,Valid
135,130,1.895,136,83,Valid
136,82,2.4,61,121,Valid
136,506,1.908,133,122,Valid
137,18,1.73,133,65,Valid
137,483,1.666,129,25,Valid
137,931,1.694,129,0,Valid
144,195,1.483,,32,Valid
146,172,2.906,,131,Valid
146,556,2.637,150,173,Valid
146,932,2.129,156,159,Valid
147,396,1.859,144,84,Valid
148,220,2.212,70,84,Valid
148,628,2.35,136,121,Valid
149,60,2.217,144,126,Valid
149,500,1.963,141,102,Valid
149,940,2.012,133,102,Valid
150,372,2.057,136,98,Valid
150,812,1.979,138,87,Valid
151,260,1.89,136,84,Valid
151,692,1.791,141,68,Valid
152,108,1.801,144,74,Valid
152,532,1.704,141,70,Valid
152,940,1.651,147,73,Valid
153,364,1.608,144,61,Valid
153,820,1.603,133,46,Valid
154,228,1.748,136,89,Valid
154,644,1.801,144,102,Valid
155,92,1.742,144,62,Valid
155,541,1.605,133,56,Valid
155,941,1.471,153,25,Valid
156,301,1.585,150,80,Valid
156,765,1.631,133,81,Valid
157,205,1.737,136,73,Valid
157,645,1.786,133,73,Valid
158,93,1.676,138,53,Valid
158,517,1.648,141,69,Valid
158,933,1.633,141,67,Valid
159,381,1.549,141,46,Valid
159,813,1.697,129,79,Valid
160,253,1.623,141,65,Valid
160,685,1.636,136,73,Valid
161,125,1.598,138,64,Valid
161,581,1.582,131,61,Valid
162,29,1.631,129,73,Valid
162,493,1.567,136,55,Valid
162,893,1.46,150,50,Valid
163,317,1.532,133,61,Valid
163,749,1.443,147,54,Valid
164,213,1.443,127,58,Valid
164,645,1.488,138,51,Valid
165,77,1.45,141,56,Valid
165,518,1.519,131,66,Valid
165,982,1.448,138,39,Valid
166,806,1.433,70,52,Valid
167,230,1.384,141,45,Valid
168,30,1.382,75,60,Valid
168,462,1.473,136,45,Valid
168,854,1.496,147,54,Valid
169,270,1.514,147,67,Valid
169,702,1.458,141,58,Valid
170,158,1.405,136,41,Valid
170,558,1.369,147,39,Valid
170,950,1.43,150,51,Valid
171,358,1.46,144,57,Valid
171,782,1.392,147,41,Valid
172,206,1.422,138,48,Valid
172,598,1.468,147,65,Valid
173,462,1.394,72,31,Valid
173,870,1.349,141,42,Valid
174,687,1.4,73,51,Valid
175,111,1.41,138,57,Valid
176,775,1.372,,45,Valid
177,223,1.402,136,55,Valid
178,463,1.351,48,56,Valid
179,719,1.323,47,55,Valid
214,531,1.356,,46,Valid
215,603,1.372,56,49,Valid
217,171,1.356,,39,Valid
218,155,1.379,60,61,Valid
219,211,1.402,57,63,Valid
220,844,1.445,,77,Valid
221,940,1.514,56,34,Valid
222,380,1.438,125,76,Valid
222,916,1.389,117,65,Valid
223,940,1.333,58,60,Valid
224,428,1.486,120,66,Valid
224,908,1.445,125,74,Valid
225,468,1.407,113,29,Valid
228,604,1.402,,68,Valid
232,301,1.394,,42,Valid
282,882,1.417,,88,Valid
300,916,1.468,,104,Valid
303,261,1.438,,81,Valid
303,701,1.387,133,101,Valid
307,445,1.361,,65,Valid
307,901,1.372,125,91,Valid
310,685,1.336,,82,Valid
312,93,1.367,42,91,Valid
316,358,1.392,,77,Valid
318,350,1.392,,74,Valid
320,326,1.405,,72,Valid
320,822,1.372,120,79,Valid
321,303,1.331,127,78,Valid
325,543,1.323,,60,Valid
329,495,3.134,,241,Valid
331,360,5.908,,288,Valid
333,64,4.341,,56,Valid
333,464,3.553,144,115,Valid
333,928,2.858,127,118,Valid
334,416,2.413,127,109,Valid
334,880,2.35,129,102,Valid
335,312,2.167,138,79,Valid
335,744,2.139,141,67,Valid
336,224,2.131,117,89,Valid
336,712,2.332,122,123,Valid
337,184,2.55,122,144,Valid
337,736,2.261,127,42,Valid
338,144,2.438,125,117,Valid
338,592,2.134,138,94,Valid
339,72,2.029,131,84,Valid
339,560,2.017,120,84,Valid
339,976,2.123,138,97,Valid
340,489,1.948,125,70,Valid
340,873,1.966,147,81,Valid
341,385,1.908,117,103,Valid
341,921,1.88,122,9,Valid
342,297,2.301,131,99,Valid
342,753,2.202,138,118,Valid
343,201,2.131,138,105,Valid
343,729,1.875,131,31,Valid
344,73,2.088,136,100,Valid
344,513,1.91,141,90,Valid
345,65,1.875,111,82,Valid
345,465,2.029,141,116,Valid
345,897,2.04,141,100,Valid
346,449,1.918,111,17,Valid
346,881,1.882,125,80,Valid
347,417,1.651,122,59,Valid
347,841,1.674,138,89,Valid
348,329,1.742,127,83,Valid
348,881,1.659,117,34,Valid
349,234,2.095,141,109,Valid
349,730,1.905,127,99,Valid
350,226,1.808,129,46,Valid
350,714,1.717,117,35,Valid
351,138,1.798,125,115,Valid
352,114,1.803,65,44,Valid
352,578,1.819,131,96,Valid
352,930,2.156,144,109,Valid
353,866,1.999,68,42,Valid
354,258,2.136,133,121,Valid
354,706,2.04,144,102,Valid
355,274,1.836,117,19,Valid
355,722,1.864,117,47,Valid
356,138,1.956,136,117,Valid
356,658,1.727,131,100,Valid
357,170,1.689,120,39,Valid
357,602,2.05,125,57,Valid
358,50,2.149,127,99,Valid
358,539,1.819,136,75,Valid
359,83,1.554,119,34,Valid
359,539,1.623,117,58,Valid
360,11,1.648,127,94,Valid
360,955,1.778,61,103,Valid
361,899,1.948,63,99,Valid
362,859,1.788,61,96,Valid
364,307,1.715,42,60,Valid
364,819,1.521,122,54,Valid
365,283,1.585,125,67,Valid
365,835,1.435,119,22,Valid
366,235,1.468,129,64,Valid
366,755,1.415,125,66,Valid
367,204,1.433,133,62,Valid
368,188,1.481,60,53,Valid
368,636,1.608,122,60,Valid
369,148,1.491,127,81,Valid
370,556,1.753,41,60,Valid
371,548,1.603,61,68,Valid
372,492,1.72,61,91,Valid
372,996,1.692,122,88,Valid
373,932,1.791,62,57,Valid
374,420,1.869,120,138,Valid
375,388,1.674,65,60,Valid
376,300,1.748,64,42,Valid
