Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
29,864,3.752,57,127,Valid
30,296,3.693,129,196,Valid
30,792,3.653,127,173,Valid
31,289,3.426,122,147,Valid
31,777,3.518,125,144,Valid
32,257,3.391,125,118,Valid
32,721,3.371,129,141,Valid
33,209,3.429,120,150,Valid
33,729,3.459,113,156,Valid
34,289,3.332,107,151,Valid
34,809,3.259,117,138,Valid
35,353,3.167,111,126,Valid
35,897,3.208,105,139,Valid
36,441,3.332,110,179,Valid
36,977,3.142,117,129,Valid
37,497,3.279,110,160,Valid
38,41,3.305,111,160,Valid
38,609,3.183,107,146,Valid
39,161,3.221,107,149,Valid
39,705,3.343,110,171,Valid
40,250,3.363,111,154,Valid
40,802,3.269,107,137,Valid
41,378,3.452,104,165,Valid
41,914,3.302,111,157,Valid
42,466,3.409,108,170,Valid
43,18,3.32,108,140,Valid
43,570,3.381,107,167,Valid
44,170,3.32,102,138,Valid
44,746,3.353,102,162,Valid
45,282,3.289,111,147,Valid
45,882,3.409,98,169,Valid
46,458,3.414,105,157,Valid
47,26,3.528,105,167,Valid
47,594,3.432,105,140,Valid
48,162,3.381,105,139,Valid
48,674,3.236,115,150,Valid
49,211,3.233,111,157,Valid
49,763,2.918,111,96,Valid
50,227,2.995,125,139,Valid
50,755,3.043,113,158,Valid
51,283,3.033,115,128,Valid
51,811,3.167,113,150,Valid
52,339,3.302,113,152,Valid
52,899,3.162,105,128,Valid
53,459,3.292,107,158,Valid
53,995,3.307,113,161,Valid
54,555,3.302,107,156,Valid
55,99,3.373,110,170,Valid
55,643,3.348,111,137,Valid
56,179,3.368,108,159,Valid
56,715,3.444,113,175,Valid
57,275,3.19,110,133,Valid
57,835,3.442,102,172,Valid
58,364,3.477,113,176,Valid
58,916,3.447,108,161,Valid
59,460,3.495,110,185,Valid
60,28,3.658,107,180,Valid
60,604,3.65,102,172,Valid
61,180,3.8,102,211,Valid
61,724,3.566,113,175,Valid
62,268,3.5,110,157,Valid
62,812,3.642,108,171,Valid
63,380,3.762,105,199,Valid
63,940,3.602,108,165,Valid
64,484,3.686,107,195,Valid
65,28,3.625,113,178,Valid
65,580,3.675,107,185,Valid
66,140,3.48,108,138,Valid
66,692,3.5,107,162,Valid
67,205,3.454,119,172,Valid
67,733,3.439,115,153,Valid
68,261,3.409,111,146,Valid
68,797,3.518,111,173,Valid
69,341,3.472,110,159,Valid
69,901,3.536,107,155,Valid
70,453,3.556,108,174,Valid
71,5,3.566,107,178,Valid
71,541,3.513,113,145,Valid
72,85,3.612,110,170,Valid
72,597,3.434,117,168,Valid
73,125,3.472,113,163,Valid
73,645,3.462,115,165,Valid
74,181,3.538,111,167,Valid
74,717,3.614,108,187,Valid
75,253,3.581,117,172,Valid
75,781,3.528,110,149,Valid
76,333,3.647,108,189,Valid
76,869,3.528,113,147,Valid
77,446,3.744,102,213,Valid
77,998,3.66,108,182,Valid
78,534,3.586,113,146,Valid
79,62,3.604,111,162,Valid
79,598,3.531,113,159,Valid
80,142,3.538,107,177,Valid
80,678,3.622,113,166,Valid
81,214,3.627,111,178,Valid
81,758,3.447,111,131,Valid
82,286,3.467,111,160,Valid
82,822,3.485,111,167,Valid
83,350,3.409,115,144,Valid
83,862,3.449,115,178,Valid
84,398,3.51,115,158,Valid
84,926,3.5,111,178,Valid
85,462,3.424,113,161,Valid
85,990,3.487,110,160,Valid
86,527,3.609,111,193,Valid
87,39,3.244,122,94,Valid
87,543,3.487,113,200,Valid
88,87,3.68,110,207,Valid
88,639,3.419,111,149,Valid
89,175,3.459,110,141,Valid
89,687,3.518,113,184,Valid
90,239,3.614,110,201,Valid
90,791,3.475,111,154,Valid
91,335,3.66,105,184,Valid
91,863,3.581,115,186,Valid
92,399,3.411,111,167,Valid
92,935,3.353,113,148,Valid
93,495,3.404,104,172,Valid
94,23,3.348,117,160,Valid
94,559,3.391,110,154,Valid
95,136,3.51,105,175,Valid
95,696,3.51,105,173,Valid
96,232,3.396,113,147,Valid
96,752,3.358,115,143,Valid
97,296,3.325,110,132,Valid
97,832,3.307,108,165,Valid
98,360,3.129,117,146,Valid
98,864,3.157,119,134,Valid
99,384,3.305,113,165,Valid
99,896,3.498,119,195,Valid
100,448,3.698,107,209,Valid
101,24,3.739,105,167,Valid
101,584,3.962,105,231,Valid
102,160,3.973,104,207,Valid
102,736,3.995,104,208,Valid
103,320,4.046,104,195,Valid
103,936,3.993,97,188,Valid
104,489,3.995,108,198,Valid
105,49,4.148,107,227,Valid
105,649,4.26,98,205,Valid
106,217,4.28,107,215,Valid
106,809,4.064,101,184,Valid
107,369,3.96,107,176,Valid
107,969,4.232,100,215,Valid
108,561,4.194,101,195,Valid
109,129,4.272,102,236,Valid
109,721,4.219,101,197,Valid
110,305,4.28,102,242,Valid
110,857,4.194,111,213,Valid
111,409,4.234,108,202,Valid
112,1,4.221,101,196,Valid
112,609,4.295,96,219,Valid
113,145,4.13,115,214,Valid
113,737,4.201,101,202,Valid
114,338,4.29,98,230,Valid
114,898,4.11,108,189,Valid
115,450,3.975,108,164,Valid
116,2,4.036,107,214,Valid
116,554,4.204,108,235,Valid
117,122,4.43,102,246,Valid
117,722,4.684,105,232,Valid
118,266,4.427,107,217,Valid
118,802,4.46,111,247,Valid
119,370,4.42,105,230,Valid
119,922,4.402,108,223,Valid
120,522,4.602,100,236,Valid
121,90,4.415,107,185,Valid
121,634,4.475,107,243,Valid
122,186,4.341,110,244,Valid
122,762,4.338,102,229,Valid
123,323,4.277,105,215,Valid
123,875,4.343,110,253,Valid
124,451,4.359,104,240,Valid
125,3,4.384,110,239,Valid
125,539,4.402,110,230,Valid
126,123,4.648,104,269,Valid
126,675,4.562,107,242,Valid
127,227,4.59,107,262,Valid
127,779,4.46,111,226,Valid
128,363,4.562,102,244,Valid
128,923,4.486,105,243,Valid
129,483,4.407,107,250,Valid
130,11,4.285,119,197,Valid
130,531,4.448,111,247,Valid
131,75,4.295,110,220,Valid
131,587,4.432,115,257,Valid
132,124,4.478,111,247,Valid
132,692,4.514,107,249,Valid
133,228,4.562,111,239,Valid
133,764,4.453,111,226,Valid
134,300,4.437,113,208,Valid
134,868,4.257,104,182,Valid
135,404,4.115,111,208,Valid
135,948,4.397,107,256,Valid
136,492,4.425,111,228,Valid
137,36,4.445,110,247,Valid
137,604,4.318,107,211,Valid
138,156,4.338,107,233,Valid
138,692,4.181,111,211,Valid
139,252,4.097,107,205,Valid
139,804,4.117,107,252,Valid
140,356,4.097,111,193,Valid
140,932,4.181,104,195,Valid
141,485,4.366,105,263,Valid
142,37,4.209,113,189,Valid
142,581,4.371,108,248,Valid
143,173,4.369,104,191,Valid
143,701,4.402,108,245,Valid
144,269,4.587,105,255,Valid
144,829,4.331,108,191,Valid
151,222,3.957,,307,Valid
151,846,4.161,107,120,Valid
152,358,4.768,110,256,Valid
152,918,4.717,108,307,Valid
153,502,4.572,100,286,Valid
154,102,4.641,101,254,Valid
154,662,4.496,105,227,Valid
155,246,4.514,102,263,Valid
155,862,4.508,97,237,Valid
156,454,4.572,102,230,Valid
157,70,4.671,98,250,Valid
157,686,4.608,98,195,Valid
158,310,4.643,94,211,Valid
158,894,4.392,102,195,Valid
159,510,4.547,98,240,Valid
160,159,4.547,91,223,Valid
160,791,4.404,96,182,Valid
161,391,4.501,100,246,Valid
162,7,4.392,96,236,Valid
162,559,4.382,108,211,Valid
163,175,4.867,100,246,Valid
163,751,4.943,101,277,Valid
164,335,4.511,105,156,Valid
164,903,4.521,104,226,Valid
165,551,4.432,92,213,Valid
166,167,4.27,96,194,Valid
166,743,4.359,104,223,Valid
167,343,4.475,101,230,Valid
167,919,4.343,102,193,Valid
168,495,4.488,104,217,Valid
169,88,4.582,101,251,Valid
169,672,4.425,102,224,Valid
170,248,4.166,107,172,Valid
170,792,4.148,105,212,Valid
171,400,4.15,98,216,Valid
171,960,3.983,108,189,Valid
173,640,3.678,,200,Valid
174,200,3.762,102,274,Valid
174,760,4.569,105,319,Valid
175,296,4.544,113,263,Valid
175,856,4.282,110,198,Valid
176,528,3.498,84,127,Valid
177,224,2.761,97,99,Valid
177,800,4.254,100,298,Valid
178,305,4.364,113,285,Valid
178,849,4.412,111,259,Valid
179,385,4.796,113,250,Valid
179,937,4.889,105,252,Valid
180,489,4.928,108,255,Valid
181,41,4.752,110,240,Valid
181,601,4.897,107,278,Valid
182,161,4.714,108,238,Valid
182,705,4.265,113,109,Valid
183,265,4.729,102,260,Valid
183,825,4.526,108,228,Valid
184,353,4.412,113,200,Valid
184,865,4.496,113,245,Valid
185,393,4.567,113,258,Valid
185,937,4.336,113,194,Valid
186,465,4.387,110,234,Valid
187,9,4.326,110,232,Valid
187,554,4.503,111,204,Valid
188,90,4.572,110,254,Valid
188,634,4.293,111,207,Valid
189,178,4.227,110,184,Valid
189,730,4.6,108,258,Valid
190,266,4.285,113,196,Valid
190,818,4.559,105,265,Valid
191,378,4.346,110,186,Valid
191,930,4.569,107,239,Valid
192,482,4.186,108,177,Valid
193,18,4.239,110,229,Valid
193,570,4.016,111,198,Valid
194,114,4.244,107,216,Valid
194,650,4.082,115,190,Valid
195,202,4.359,107,236,Valid
195,754,4.336,107,242,Valid
196,331,4.196,107,183,Valid
196,867,4.219,108,211,Valid
197,419,3.99,111,196,Valid
197,963,4.221,108,225,Valid
198,491,4.044,115,203,Valid
199,19,3.848,111,197,Valid
199,571,3.823,110,177,Valid
200,131,4.153,105,220,Valid
200,683,4.232,110,244,Valid
201,259,4.122,102,212,Valid
201,811,4.122,108,178,Valid
202,355,4.267,108,229,Valid
202,899,4.051,113,198,Valid
203,427,4.199,110,228,Valid
203,963,4.041,115,204,Valid
204,507,4.013,108,186,Valid
205,43,4.026,110,214,Valid
205,595,4.059,110,203,Valid
206,148,4.31,107,253,Valid
206,692,3.965,115,182,Valid
207,252,4.234,105,216,Valid
207,820,4.288,105,227,Valid
208,388,4.155,104,224,Valid
208,932,4.072,110,154,Valid
209,580,4.844,96,244,Valid
