Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
20,7,2.339,117,111,Valid
20,447,2.741,125,130,Valid
20,943,3.053,120,102,Valid
21,439,3.315,125,150,Valid
21,975,3.035,110,135,Valid
22,479,2.918,120,131,Valid
22,967,2.761,122,125,Valid
23,487,2.901,111,146,Valid
24,63,3.061,102,140,Valid
24,560,3.112,122,134,Valid
25,72,2.941,119,131,Valid
25,600,2.896,115,123,Valid
26,96,3.084,117,162,Valid
26,632,2.847,117,114,Valid
27,120,2.888,117,108,Valid
27,664,3.231,108,156,Valid
28,160,3.089,125,159,Valid
28,656,2.873,120,122,Valid
29,160,2.659,125,73,Valid
29,608,2.982,119,155,Valid
31,496,2.967,,179,Valid
31,968,2.705,144,112,Valid
32,416,2.896,122,129,Valid
32,896,3.264,120,204,Valid
33,385,2.535,144,110,Valid
34,361,2.535,60,91,Valid
34,745,2.791,138,123,Valid
35,209,3.018,127,199,Valid
35,737,2.771,127,155,Valid
36,233,2.789,120,109,Valid
36,673,2.883,131,102,Valid
37,121,3.119,127,142,Valid
37,609,2.982,129,139,Valid
38,65,3.183,122,220,Valid
38,641,2.654,122,61,Valid
39,65,2.725,125,96,Valid
39,489,3.03,129,145,Valid
40,1,2.863,129,124,Valid
40,425,2.885,133,163,Valid
40,889,2.827,138,189,Valid
41,721,2.891,70,130,Valid
42,154,2.832,136,156,Valid
42,610,2.809,133,156,Valid
43,522,3.139,64,148,Valid
43,922,2.936,141,200,Valid
44,514,2.603,125,39,Valid
44,914,2.708,131,122,Valid
45,338,2.667,133,128,Valid
45,842,2.421,125,56,Valid
46,298,2.766,122,174,Valid
46,794,2.87,125,155,Valid
47,314,2.868,117,126,Valid
47,802,2.888,122,115,Valid
48,322,2.728,113,123,Valid
48,810,2.507,122,117,Valid
49,290,2.271,129,98,Valid
49,810,2.672,108,153,Valid
50,330,2.664,120,92,Valid
50,866,3.119,111,162,Valid
51,355,2.464,129,116,Valid
51,907,2.009,120,0,Valid
52,355,2.449,110,107,Valid
52,867,2.69,120,133,Valid
53,419,2.126,120,55,Valid
53,851,1.941,127,92,Valid
54,723,2.098,64,115,Valid
55,187,2.042,133,135,Valid
55,691,2.078,129,109,Valid
56,155,2.243,127,105,Valid
56,635,2.682,125,131,Valid
57,147,2.532,117,106,Valid
57,659,2.708,113,150,Valid
58,187,2.395,119,98,Valid
58,659,2.558,122,121,Valid
59,171,2.875,115,161,Valid
59,699,2.86,115,113,Valid
60,235,3.099,111,157,Valid
60,779,2.941,108,143,Valid
61,300,2.647,120,90,Valid
61,812,2.865,111,167,Valid
62,340,2.576,125,64,Valid
62,828,2.789,111,138,Valid
63,332,2.664,120,138,Valid
63,836,2.398,125,105,Valid
