Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
211,565,4.435,100,152,Valid
212,37,4.409,122,201,Valid
212,541,4.178,119,225,Valid
213,69,3.668,122,163,Valid
213,534,3.487,129,158,Valid
213,998,3.64,122,201,Valid
214,470,3.421,127,146,Valid
226,287,3.426,,233,Valid
226,847,3.025,117,100,Valid
227,335,3.586,111,156,Valid
227,863,3.919,117,211,Valid
228,319,3.594,125,212,Valid
228,855,3.373,115,176,Valid
229,367,3.556,117,185,Valid
229,871,3.52,115,170,Valid
230,367,3.465,120,177,Valid
230,855,3.274,120,185,Valid
231,360,3.178,120,181,Valid
231,872,3.119,119,155,Valid
232,368,3.327,117,182,Valid
232,880,3.284,120,183,Valid
233,392,3.155,120,159,Valid
233,872,3.249,119,174,Valid
234,384,3.175,119,162,Valid
234,880,3.15,120,162,Valid
235,384,3.183,119,173,Valid
235,912,3.167,113,163,Valid
236,424,3.063,119,151,Valid
236,928,2.974,119,139,Valid
237,440,3.002,113,157,Valid
237,968,2.824,119,142,Valid
238,448,2.977,119,160,Valid
238,968,2.865,119,144,Valid
239,472,2.931,117,165,Valid
239,984,2.85,119,153,Valid
240,472,2.944,119,163,Valid
240,984,2.957,119,159,Valid
241,489,3.012,119,153,Valid
241,993,2.906,119,152,Valid
242,497,2.86,117,151,Valid
242,993,2.865,125,155,Valid
243,489,2.967,119,159,Valid
243,985,2.951,120,176,Valid
244,497,2.847,119,127,Valid
244,985,3.043,120,167,Valid
245,481,2.901,120,156,Valid
245,985,2.946,120,160,Valid
246,457,3.091,122,178,Valid
246,961,3.02,122,160,Valid
247,457,3.04,119,141,Valid
247,945,2.944,122,160,Valid
248,441,2.863,120,150,Valid
248,953,2.804,117,132,Valid
249,441,2.758,122,127,Valid
249,945,2.598,120,131,Valid
250,442,2.535,120,122,Valid
250,922,2.51,125,131,Valid
251,418,2.482,120,136,Valid
251,890,2.576,127,143,Valid
252,362,2.469,125,103,Valid
260,867,3.452,,255,Valid
261,419,3.734,105,183,Valid
261,899,3.922,125,182,Valid
262,379,3.724,125,186,Valid
262,859,3.238,120,183,Valid
263,395,3.106,120,136,Valid
263,883,3.432,115,189,Valid
264,363,3.424,125,196,Valid
264,843,3.307,125,177,Valid
265,339,3.452,117,195,Valid
265,843,3.579,122,195,Valid
266,355,3.401,120,163,Valid
266,843,3.401,120,174,Valid
267,355,3.495,117,177,Valid
267,867,3.553,115,190,Valid
268,387,3.614,117,187,Valid
268,891,3.63,117,183,Valid
269,404,3.713,120,201,Valid
269,892,3.97,119,239,Valid
270,428,4.15,115,202,Valid
270,996,4.348,105,219,Valid
271,532,4.006,110,205,Valid
272,124,4.128,101,209,Valid
272,700,4.209,105,190,Valid
273,244,3.719,110,159,Valid
273,836,3.658,101,160,Valid
274,420,3.457,101,165,Valid
275,52,3.465,97,157,Valid
275,684,3.584,94,161,Valid
276,316,3.627,94,155,Valid
276,948,3.614,94,154,Valid
277,580,3.741,94,160,Valid
278,205,3.609,93,157,Valid
278,853,3.823,93,183,Valid
279,493,3.515,93,150,Valid
280,237,2.845,78,70,Valid
280,877,2.362,93,131,Valid
281,445,2.388,108,137,Valid
282,93,2.906,92,135,Valid
282,645,2.708,107,101,Valid
283,261,2.962,100,165,Valid
283,829,2.794,104,147,Valid
284,405,2.87,104,127,Valid
284,997,2.926,101,135,Valid
285,581,2.997,102,154,Valid
286,181,3.063,100,149,Valid
286,733,2.896,107,136,Valid
287,374,3.178,97,145,Valid
287,958,3.112,101,146,Valid
288,582,3.045,94,125,Valid
289,222,3.378,96,151,Valid
289,798,2.858,104,99,Valid
290,430,3.04,94,129,Valid
290,990,2.675,104,113,Valid
291,574,2.631,101,121,Valid
292,206,2.824,98,137,Valid
292,774,2.949,102,157,Valid
293,358,2.845,102,130,Valid
293,998,2.944,96,133,Valid
294,590,2.949,100,150,Valid
295,206,2.85,97,118,Valid
295,806,2.967,100,140,Valid
296,359,2.731,108,117,Valid
296,927,2.695,104,108,Valid
297,543,2.898,98,154,Valid
298,127,2.68,102,115,Valid
298,719,2.756,102,134,Valid
299,311,2.797,100,135,Valid
299,903,2.802,101,124,Valid
300,551,3.04,93,149,Valid
301,191,3.078,93,139,Valid
301,807,2.977,94,145,Valid
302,431,2.855,96,129,Valid
303,31,2.855,104,112,Valid
303,679,2.84,89,145,Valid
304,343,2.817,92,108,Valid
304,991,2.855,93,124,Valid
305,576,2.609,98,103,Valid
306,208,2.804,96,152,Valid
306,848,2.847,94,128,Valid
307,496,2.995,94,130,Valid
308,112,2.804,94,128,Valid
308,688,2.616,101,120,Valid
309,360,2.756,92,100,Valid
309,952,2.964,100,160,Valid
310,544,2.751,98,123,Valid
311,136,2.723,101,120,Valid
311,808,2.957,92,140,Valid
312,392,2.7,98,105,Valid
313,48,2.797,92,130,Valid
313,680,2.715,93,115,Valid
314,280,2.56,101,105,Valid
314,992,2.69,85,119,Valid
315,761,2.72,80,121,Valid
316,409,2.746,88,130,Valid
378,655,2.268,115,178,Valid
379,119,2.405,131,189,Valid
379,608,2.446,127,198,Valid
380,72,2.484,129,194,Valid
380,552,2.512,129,207,Valid
381,8,2.631,129,211,Valid
381,472,2.657,127,213,Valid
381,976,2.537,120,200,Valid
382,520,2.479,119,200,Valid
382,992,2.588,120,219,Valid
383,488,2.624,122,219,Valid
383,976,2.522,125,200,Valid
384,440,2.568,125,218,Valid
384,904,2.682,129,219,Valid
385,376,2.609,129,189,Valid
385,848,2.469,127,185,Valid
386,352,2.195,120,97,Valid
386,800,2.156,131,198,Valid
387,192,2.451,144,212,Valid
387,640,2.537,129,205,Valid
388,136,2.443,133,198,Valid
388,569,2.548,133,219,Valid
389,25,2.616,113,227,Valid
389,473,2.609,163,234,Valid
389,921,2.723,131,235,Valid
390,353,2.822,133,233,Valid
390,841,2.791,125,205,Valid
391,329,2.634,131,215,Valid
391,793,2.682,125,207,Valid
392,257,2.659,125,197,Valid
392,737,2.548,131,196,Valid
393,217,2.492,125,205,Valid
393,649,2.654,131,236,Valid
394,137,2.723,125,204,Valid
394,617,2.809,120,213,Valid
395,153,2.687,119,186,Valid
395,633,2.405,127,169,Valid
396,57,2.626,127,211,Valid
396,585,2.652,115,176,Valid
397,65,2.474,131,196,Valid
397,521,2.68,125,225,Valid
398,9,2.776,125,229,Valid
398,490,2.779,125,222,Valid
398,986,2.68,127,221,Valid
399,466,2.637,120,185,Valid
415,539,2.395,,126,Valid
415,963,2.377,129,197,Valid
416,460,2.177,125,184,Valid
416,956,2.029,129,142,Valid
417,412,2.052,122,153,Valid
417,892,2.035,120,150,Valid
418,380,1.951,129,154,Valid
418,876,1.877,122,142,Valid
419,340,1.847,129,154,Valid
419,796,1.791,127,137,Valid
420,228,1.814,136,151,Valid
420,716,1.847,127,147,Valid
421,204,2.106,122,180,Valid
421,660,2.217,131,191,Valid
422,100,2.187,138,162,Valid
422,548,2.324,131,198,Valid
423,28,2.332,125,189,Valid
423,516,2.291,122,198,Valid
423,996,2.296,125,185,Valid
424,468,2.372,113,206,Valid
424,948,2.316,141,185,Valid
425,437,2.184,120,153,Valid
460,120,1.923,131,193,Valid
460,584,2.068,153,186,Valid
461,8,2.367,129,201,Valid
461,496,2.36,125,177,Valid
461,944,2.421,125,193,Valid
462,417,2.35,141,183,Valid
462,857,2.266,138,164,Valid
463,313,2.2,125,146,Valid
463,729,2.182,156,180,Valid
464,185,2.146,120,169,Valid
464,641,2.101,150,154,Valid
465,57,2.253,136,194,Valid
465,497,2.339,127,195,Valid
465,929,2.517,147,221,Valid
466,369,2.565,129,208,Valid
466,825,2.629,127,211,Valid
467,281,2.631,136,213,Valid
467,753,2.601,136,195,Valid
468,209,2.553,131,173,Valid
468,681,2.339,122,126,Valid
469,97,2.261,141,183,Valid
469,585,1.974,138,31,Valid
488,507,2.088,,156,Valid
488,947,2.057,122,182,Valid
489,419,2.083,127,215,Valid
489,843,2.131,170,165,Valid
490,252,2.192,144,193,Valid
490,660,2.289,129,223,Valid
491,60,2.484,144,255,Valid
491,484,2.497,166,212,Valid
491,916,2.497,138,203,Valid
492,388,2.398,133,190,Valid
492,804,2.41,131,189,Valid
493,244,2.355,141,208,Valid
493,660,2.377,144,217,Valid
494,100,2.39,136,195,Valid
494,540,2.433,136,192,Valid
494,988,2.377,122,185,Valid
495,436,2.324,133,179,Valid
495,876,2.151,141,129,Valid
496,284,2.113,141,167,Valid
496,716,2.108,141,164,Valid
497,132,2.121,141,174,Valid
497,556,2.141,141,177,Valid
497,972,2.126,144,176,Valid
498,396,2.126,141,172,Valid
498,828,2.144,141,163,Valid
499,261,2.118,136,186,Valid
499,701,2.291,131,219,Valid
500,157,2.258,133,186,Valid
500,605,2.121,144,116,Valid
501,13,2.174,136,168,Valid
501,445,2.08,144,151,Valid
501,869,2.106,136,185,Valid
502,341,2.004,133,106,Valid
502,773,1.938,136,134,Valid
