Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
137,723,4.105,100,247,Valid
138,171,4.392,136,260,Valid
138,635,4.392,131,186,Valid
139,100,4.816,127,323,Valid
139,572,4.956,127,278,Valid
140,28,5.799,127,452,Valid
140,540,5.751,122,228,Valid
140,996,5.883,129,278,Valid
141,476,5.839,122,312,Valid
141,940,5.809,136,262,Valid
142,868,4.658,63,251,Valid
143,428,4.087,110,198,Valid
143,916,4.308,129,25,Valid
144,340,5.37,127,278,Valid
144,780,5.806,133,384,Valid
145,260,5.972,131,313,Valid
145,724,6.49,127,392,Valid
146,236,6.614,119,303,Valid
146,732,6.761,119,335,Valid
147,252,6.947,117,327,Valid
147,716,6.726,129,306,Valid
148,245,6.777,113,318,Valid
148,741,6.81,120,252,Valid
149,253,6.866,115,351,Valid
149,765,6.507,117,340,Valid
150,333,5.446,108,211,Valid
160,798,4.199,,289,Valid
161,694,5.151,70,0,Valid
162,222,6.337,105,282,Valid
162,646,6.373,138,568,Valid
163,118,6.678,122,589,Valid
163,622,6.474,131,122,Valid
164,70,7.224,131,202,Valid
164,542,7.894,120,381,Valid
164,990,7.889,131,462,Valid
165,470,7.628,125,465,Valid
165,942,7.249,127,418,Valid
166,447,7.369,122,316,Valid
166,943,7.193,122,208,Valid
167,431,7.808,119,452,Valid
167,919,7.559,127,296,Valid
168,431,7.407,117,264,Valid
168,887,7.805,127,419,Valid
169,407,7.739,117,326,Valid
169,879,7.615,127,341,Valid
170,399,7.043,113,284,Valid
170,911,7.32,115,429,Valid
171,439,7.353,115,361,Valid
171,943,7.097,119,316,Valid
172,463,6.871,115,324,Valid
172,983,6.678,115,337,Valid
173,495,6.358,117,276,Valid
173,983,6.083,122,256,Valid
174,463,5.784,127,240,Valid
174,959,5.563,120,226,Valid
175,455,5.443,120,224,Valid
175,951,5.685,115,383,Valid
176,472,5.535,120,251,Valid
177,8,5.88,108,326,Valid
177,544,5.885,110,330,Valid
178,88,6.015,111,350,Valid
178,632,5.923,111,298,Valid
179,176,5.966,107,350,Valid
179,736,5.916,108,331,Valid
180,296,5.944,107,318,Valid
180,848,6.053,108,358,Valid
181,360,6.19,119,318,Valid
181,888,5.936,113,270,Valid
182,408,5.796,113,309,Valid
182,936,5.842,113,320,Valid
183,464,5.751,115,289,Valid
184,0,5.789,111,290,Valid
184,520,5.791,115,294,Valid
185,40,5.771,115,250,Valid
185,561,5.819,113,324,Valid
186,81,5.791,117,286,Valid
186,593,5.504,119,213,Valid
187,105,5.7,113,329,Valid
187,625,5.817,115,335,Valid
188,137,5.575,119,248,Valid
188,657,5.839,113,309,Valid
189,169,5.758,119,282,Valid
189,657,5.624,122,275,Valid
190,185,5.598,113,299,Valid
190,705,5.733,115,288,Valid
191,225,5.88,115,299,Valid
191,721,5.824,119,307,Valid
192,265,5.733,110,318,Valid
192,777,5.641,119,266,Valid
193,281,5.796,115,340,Valid
193,809,5.621,117,254,Valid
194,314,5.502,119,271,Valid
194,834,5.448,115,281,Valid
195,354,5.359,115,272,Valid
195,850,5.26,120,240,Valid
196,362,5.26,117,287,Valid
196,874,5.441,117,301,Valid
197,386,5.522,117,253,Valid
197,906,5.588,113,293,Valid
198,418,5.69,119,283,Valid
198,930,5.535,117,280,Valid
199,434,5.573,119,293,Valid
199,938,5.664,119,294,Valid
200,442,5.682,119,265,Valid
200,946,5.761,119,289,Valid
201,466,5.768,111,348,Valid
201,986,6.017,119,288,Valid
202,506,5.951,117,251,Valid
203,18,6.2,113,354,Valid
203,547,6.167,113,330,Valid
204,67,6.185,117,305,Valid
204,579,5.928,119,258,Valid
205,75,5.984,119,293,Valid
205,571,5.916,120,282,Valid
206,91,5.862,115,262,Valid
206,595,5.636,119,256,Valid
207,115,5.862,113,328,Valid
207,627,5.801,119,293,Valid
208,147,5.687,117,255,Valid
208,643,5.672,119,253,Valid
209,139,5.626,120,257,Valid
209,643,5.552,119,279,Valid
210,139,5.56,120,279,Valid
210,643,5.481,120,208,Valid
211,131,5.649,120,300,Valid
211,643,5.603,119,244,Valid
212,140,5.71,119,271,Valid
212,660,5.657,115,285,Valid
213,188,5.819,111,321,Valid
213,692,5.852,120,296,Valid
214,204,5.768,117,280,Valid
214,708,5.674,120,253,Valid
215,196,5.621,120,291,Valid
215,684,5.362,125,219,Valid
216,172,5.598,119,325,Valid
216,684,5.613,119,274,Valid
217,196,5.469,117,249,Valid
217,724,5.458,111,289,Valid
218,236,5.392,119,283,Valid
218,740,5.601,117,326,Valid
219,276,5.425,113,252,Valid
219,788,5.438,115,274,Valid
220,316,5.53,113,290,Valid
