Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
42,452,5.4,100,181,Valid
42,908,4.681,107,217,Valid
43,508,3.907,107,141,Valid
44,68,3.724,102,165,Valid
44,620,3.762,105,191,Valid
45,196,3.917,104,208,Valid
45,796,3.912,98,203,Valid
46,372,3.909,104,193,Valid
46,932,3.759,108,190,Valid
47,516,3.528,104,164,Valid
48,117,3.01,98,107,Valid
48,685,2.819,104,180,Valid
49,285,2.723,104,134,Valid
49,813,3.155,110,171,Valid
50,389,3.274,104,184,Valid
50,957,3.193,105,167,Valid
51,517,3.261,105,186,Valid
52,93,3.366,105,188,Valid
52,645,3.406,107,199,Valid
53,197,3.533,108,199,Valid
53,765,3.566,105,199,Valid
54,333,3.475,105,172,Valid
54,885,3.498,108,197,Valid
55,453,3.569,105,203,Valid
56,21,3.589,107,198,Valid
56,565,3.556,108,183,Valid
57,109,3.622,111,184,Valid
