Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
154,911,3.363,,406,Valid
155,463,4.333,110,238,Valid
155,999,5.491,110,318,Valid
156,503,6.203,120,408,Valid
156,983,6.2,120,417,Valid
157,535,6.391,111,360,Valid
158,71,6.624,110,392,Valid
158,607,6.629,111,377,Valid
159,167,6.528,108,320,Valid
159,711,6.688,108,388,Valid
160,255,6.767,108,398,Valid
160,775,6.533,117,366,Valid
161,328,6.556,107,372,Valid
161,880,6.541,108,356,Valid
162,440,6.756,108,369,Valid
162,984,6.533,111,334,Valid
163,512,6.294,115,297,Valid
164,48,6.159,111,266,Valid
164,592,6.261,108,306,Valid
165,152,6.64,107,376,Valid
165,736,6.632,100,400,Valid
166,320,5.649,110,179,Valid
166,824,6.002,111,294,Valid
167,344,6.218,115,318,Valid
167,888,5.857,111,305,Valid
168,424,5.573,113,234,Valid
168,952,6.223,108,355,Valid
169,457,6.027,122,313,Valid
169,985,5.829,115,263,Valid
173,945,4.707,,295,Valid
174,553,4.371,113,0,Valid
175,17,5.654,115,236,Valid
175,537,5.984,115,420,Valid
176,65,5.667,111,343,Valid
176,609,5.484,111,258,Valid
177,129,5.766,113,268,Valid
177,633,5.832,117,304,Valid
178,177,6.114,110,327,Valid
178,721,6.066,113,292,Valid
179,257,5.994,111,287,Valid
179,777,6.271,113,306,Valid
180,322,6.317,111,302,Valid
180,858,6.18,111,290,Valid
181,402,6.284,108,302,Valid
181,954,6.251,110,297,Valid
182,498,6.21,108,295,Valid
183,58,6.386,105,314,Valid
183,618,6.373,110,281,Valid
184,154,6.464,110,326,Valid
184,738,6.32,104,301,Valid
185,274,6.408,108,337,Valid
185,818,6.251,113,262,Valid
186,346,6.147,110,305,Valid
186,914,6.167,108,289,Valid
187,458,6.253,107,342,Valid
188,18,6.34,108,302,Valid
188,586,6.2,105,303,Valid
189,147,6.274,107,309,Valid
189,683,6.162,111,301,Valid
192,339,4.265,,155,Valid
192,939,4.493,105,386,Valid
193,531,5.004,107,175,Valid
194,27,5.725,111,295,Valid
194,555,6.043,111,344,Valid
195,91,5.984,113,358,Valid
195,651,5.984,110,277,Valid
196,203,5.898,108,229,Valid
196,763,5.87,107,254,Valid
197,299,6.03,110,307,Valid
197,867,6.05,108,244,Valid
198,420,6.048,105,276,Valid
198,980,6.055,107,255,Valid
199,532,5.984,108,287,Valid
200,92,5.842,108,244,Valid
200,612,5.933,111,308,Valid
201,172,6.109,108,264,Valid
201,716,6.022,110,279,Valid
202,260,5.855,111,244,Valid
202,796,5.928,110,264,Valid
203,324,6.182,113,288,Valid
203,860,6.187,113,286,Valid
204,388,5.87,113,256,Valid
204,924,5.999,111,249,Valid
205,460,5.974,111,257,Valid
205,988,5.773,111,277,Valid
206,532,5.677,111,256,Valid
207,76,5.697,110,228,Valid
207,597,5.931,111,307,Valid
208,141,5.812,113,266,Valid
208,669,5.733,113,246,Valid
209,205,5.845,110,284,Valid
209,773,6.485,108,339,Valid
213,141,6.099,,412,Valid
213,685,5.817,117,165,Valid
214,229,6.513,105,308,Valid
214,749,6.378,111,301,Valid
215,293,6.213,111,292,Valid
215,845,6.01,107,274,Valid
216,390,5.933,111,263,Valid
216,926,6.327,110,312,Valid
217,486,6.218,110,288,Valid
218,22,6.162,110,283,Valid
218,566,6.716,108,326,Valid
219,102,6.558,115,297,Valid
219,638,6.419,111,278,Valid
220,174,6.568,110,303,Valid
220,718,6.477,108,306,Valid
221,254,6.619,113,317,Valid
221,798,6.789,110,310,Valid
222,350,6.386,110,259,Valid
222,878,6.49,111,310,Valid
223,422,6.414,111,285,Valid
223,966,6.403,108,302,Valid
224,510,6.365,110,306,Valid
225,54,6.624,110,292,Valid
225,606,6.431,110,289,Valid
226,175,6.584,104,315,Valid
226,735,6.629,107,308,Valid
227,279,6.548,110,318,Valid
227,823,6.744,110,333,Valid
228,359,6.693,111,312,Valid
228,911,6.883,111,290,Valid
232,399,6.345,,370,Valid
232,951,6.34,111,230,Valid
233,463,6.782,113,269,Valid
233,991,6.894,113,401,Valid
234,527,6.652,110,335,Valid
235,71,6.619,111,307,Valid
235,608,6.792,110,342,Valid
236,152,7.109,110,369,Valid
236,696,7.074,111,337,Valid
237,224,6.937,113,319,Valid
237,760,7.186,111,348,Valid
238,296,7.013,111,321,Valid
238,840,7.12,110,314,Valid
239,368,7.29,113,327,Valid
239,912,6.863,111,297,Valid
240,448,7.015,108,335,Valid
240,992,7.186,111,346,Valid
241,536,7.155,110,323,Valid
242,80,7.15,110,327,Valid
242,616,7.341,111,334,Valid
243,168,7.468,107,341,Valid
243,712,6.789,113,290,Valid
244,241,6.571,111,274,Valid
244,777,7.036,110,336,Valid
245,313,7.12,113,319,Valid
245,865,6.833,107,303,Valid
246,417,6.955,110,314,Valid
246,993,6.538,111,229,Valid
249,681,5.029,,78,Valid
250,233,4.696,108,71,Valid
250,745,4.295,115,201,Valid
251,321,3.411,110,47,Valid
251,857,4.605,104,337,Valid
252,433,4.557,110,182,Valid
252,961,5.166,108,223,Valid
253,498,5.103,111,235,Valid
254,34,4.818,115,228,Valid
254,578,4.889,108,278,Valid
255,130,4.636,111,162,Valid
255,650,4.534,111,183,Valid
256,186,4.696,110,254,Valid
256,754,4.323,110,154,Valid
257,274,4.524,111,219,Valid
257,810,4.536,110,228,Valid
258,354,4.729,111,236,Valid
258,898,4.633,111,175,Valid
259,434,4.521,111,170,Valid
259,970,4.694,110,216,Valid
260,514,4.409,113,179,Valid
261,50,4.539,110,197,Valid
261,586,4.724,108,233,Valid
262,130,4.732,111,238,Valid
262,666,4.519,111,172,Valid
263,203,4.493,111,212,Valid
263,747,4.709,110,249,Valid
264,299,4.575,110,156,Valid
264,819,4.559,115,218,Valid
265,371,4.61,108,202,Valid
265,907,4.669,110,230,Valid
266,467,4.562,108,182,Valid
267,3,4.623,110,220,Valid
267,563,4.653,105,220,Valid
268,115,4.46,113,175,Valid
268,675,4.895,105,263,Valid
269,235,4.552,105,190,Valid
272,812,3.945,,143,Valid
273,356,4.054,113,189,Valid
273,908,4.229,108,210,Valid
274,452,4.14,113,168,Valid
274,972,4.422,110,188,Valid
275,492,4.496,115,222,Valid
276,52,4.458,108,182,Valid
276,588,4.049,115,121,Valid
277,108,4.417,110,237,Valid
277,660,4.262,111,183,Valid
278,212,4.267,108,142,Valid
278,740,4.468,111,217,Valid
291,670,3.424,,141,Valid
292,78,3.49,166,265,Valid
292,654,4.117,108,55,Valid
293,246,4.874,104,343,Valid
293,758,4.577,108,244,Valid
294,342,4.46,107,121,Valid
294,894,4.44,107,153,Valid
295,438,4.437,108,163,Valid
295,942,4.821,113,334,Valid
299,303,3.772,61,95,Valid
299,783,3.462,119,269,Valid
300,319,2.969,115,65,Valid
300,863,2.972,105,34,Valid
301,351,3.279,117,144,Valid
301,903,3.117,110,152,Valid
302,439,3.096,113,168,Valid
302,999,3.045,110,70,Valid
303,519,3.048,111,116,Valid
304,95,3.033,104,135,Valid
304,639,3.084,110,145,Valid
305,207,3.185,107,129,Valid
305,759,3.401,105,158,Valid
306,311,3.447,110,151,Valid
310,88,3.597,,144,Valid
310,680,3.769,107,208,Valid
311,136,3.744,120,284,Valid
311,688,3.503,119,79,Valid
312,184,3.752,115,100,Valid
312,704,3.863,111,156,Valid
313,224,3.787,113,209,Valid
313,776,3.711,113,152,Valid
314,304,3.67,113,143,Valid
314,840,3.645,108,125,Valid
315,392,3.642,110,167,Valid
315,960,3.366,108,108,Valid
316,472,3.454,110,209,Valid
317,0,3.581,117,190,Valid
317,552,3.896,108,220,Valid
321,225,3.807,,123,Valid
321,793,3.835,104,190,Valid
322,297,3.363,115,186,Valid
322,841,3.139,117,116,Valid
323,361,3.32,110,119,Valid
323,873,3.358,115,105,Valid
324,393,3.343,113,161,Valid
324,929,3.399,115,164,Valid
325,449,3.358,115,134,Valid
325,969,3.327,117,129,Valid
326,497,3.272,111,126,Valid
327,25,3.353,111,159,Valid
327,562,3.165,115,126,Valid
328,90,3.043,113,108,Valid
328,610,3.084,115,95,Valid
331,58,3.457,,197,Valid
331,602,3.322,110,169,Valid
332,98,3.335,120,248,Valid
332,626,3.063,119,88,Valid
333,114,3.231,117,125,Valid
333,618,3.393,119,138,Valid
334,122,3.449,117,175,Valid
334,634,3.335,120,170,Valid
335,178,3,117,12,Valid
335,666,3.335,113,192,Valid
336,203,3.396,115,192,Valid
336,739,3.058,115,69,Valid
337,227,3.203,115,145,Valid
337,747,3.249,117,147,Valid
338,267,3.223,117,107,Valid
341,83,2.835,,129,Valid
341,611,3.465,111,232,Valid
342,115,3.571,115,264,Valid
342,675,3.238,117,73,Valid
343,131,3.769,119,194,Valid
343,651,3.937,115,217,Valid
344,187,3.744,115,166,Valid
344,699,3.711,117,177,Valid
345,227,3.536,115,145,Valid
345,739,3.426,117,92,Valid
346,244,3.386,119,156,Valid
346,756,3.581,115,188,Valid
347,276,3.495,117,157,Valid
347,788,3.467,115,141,Valid
348,324,3.487,111,148,Valid
351,140,3.432,,148,Valid
351,668,3.462,113,198,Valid
352,180,3.213,120,186,Valid
352,692,3.198,117,141,Valid
353,204,3.307,115,99,Valid
353,708,3.52,115,167,Valid
354,236,3.429,115,147,Valid
354,748,3.312,119,141,Valid
355,269,3.124,119,86,Valid
355,773,3.157,113,105,Valid
356,277,3.317,119,182,Valid
356,813,2.992,119,73,Valid
357,317,3.119,113,136,Valid
357,869,2.873,113,78,Valid
358,389,3.051,113,112,Valid
361,669,3.15,,142,Valid
362,229,3.32,110,180,Valid
362,709,3.112,119,197,Valid
363,237,3.094,119,127,Valid
363,717,3.353,119,150,Valid
364,214,3.559,120,157,Valid
364,742,3.378,115,124,Valid
365,262,3.363,115,169,Valid
365,790,3.167,115,119,Valid
366,310,3.106,115,82,Valid
366,830,3.223,117,111,Valid
367,350,3.218,113,141,Valid
367,870,3.162,115,121,Valid
368,382,3.287,115,131,Valid
368,910,3.292,115,108,Valid
371,62,3.739,,175,Valid
371,558,3.683,115,249,Valid
372,78,3.198,119,233,Valid
372,606,3.142,117,119,Valid
373,102,3.411,115,94,Valid
373,615,3.787,113,142,Valid
374,127,3.833,119,195,Valid
374,655,3.579,117,165,Valid
375,167,3.551,115,166,Valid
375,695,3.366,115,84,Valid
376,207,3.508,115,147,Valid
376,719,3.703,115,188,Valid
377,255,3.376,117,124,Valid
377,759,3.531,113,188,Valid
378,287,3.406,115,143,Valid
380,407,3.391,,98,Valid
380,943,3.523,115,260,Valid
381,439,3.175,115,234,Valid
381,967,3.127,117,30,Valid
382,448,3.711,115,121,Valid
382,944,3.955,119,157,Valid
383,472,3.962,115,208,Valid
384,8,3.599,119,111,Valid
384,504,3.536,117,107,Valid
385,48,3.459,111,130,Valid
385,576,3.419,111,122,Valid
386,88,3.559,115,174,Valid
386,608,3.498,117,129,Valid
387,152,3.238,111,89,Valid
387,688,3.579,111,183,Valid
391,128,3.332,,45,Valid
391,688,3.79,117,214,Valid
392,121,3.246,122,201,Valid
392,673,3.185,113,104,Valid
393,177,3.485,113,115,Valid
393,681,3.637,117,134,Valid
394,185,3.747,117,175,Valid
394,729,3.411,115,105,Valid
395,209,3.277,122,133,Valid
395,721,3.416,119,171,Valid
396,249,3.376,113,131,Valid
396,769,3.348,117,110,Valid
397,265,3.434,115,178,Valid
397,809,3.378,113,130,Valid
398,321,3.528,115,161,Valid
398,857,3.386,113,132,Valid
399,385,3.381,111,129,Valid
399,905,3.401,115,165,Valid
400,449,3.261,111,57,Valid
400,969,3.505,113,163,Valid
401,506,3.244,115,124,Valid
402,18,3.221,111,184,Valid
402,546,3.185,117,125,Valid
403,74,3.312,111,136,Valid
403,594,3.348,115,128,Valid
404,114,3.261,113,161,Valid
404,666,3.051,113,119,Valid
405,194,3.005,113,82,Valid
405,714,3.348,111,152,Valid
406,242,3.32,115,150,Valid
406,778,3.152,111,102,Valid
407,298,3.266,113,142,Valid
407,818,3.536,113,188,Valid
408,362,3.492,111,163,Valid
408,890,3.452,111,174,Valid
409,434,3.31,113,121,Valid
409,962,3.099,113,87,Valid
410,491,3.244,110,159,Valid
411,35,3.322,111,163,Valid
427,700,3.335,,288,Valid
428,229,3.683,120,213,Valid
428,717,3.919,129,89,Valid
429,165,3.538,131,0,Valid
429,637,4.206,119,318,Valid
430,149,4.079,122,177,Valid
430,637,3.904,125,91,Valid
431,141,4.14,115,177,Valid
431,693,4.094,111,93,Valid
432,181,4.425,120,226,Valid
432,669,4.001,120,211,Valid
433,173,3.404,125,133,Valid
433,669,3.066,119,62,Valid
434,109,3.363,131,215,Valid
434,605,3.49,125,110,Valid
439,238,3.434,,121,Valid
439,774,3.805,113,336,Valid
440,262,2.875,125,34,Valid
440,750,3.355,120,147,Valid
441,238,3.523,117,160,Valid
441,718,3.873,120,218,Valid
442,230,3.66,120,167,Valid
442,718,3.891,120,208,Valid
443,238,3.457,119,156,Valid
443,726,3.218,122,154,Valid
444,238,3.122,119,110,Valid
444,734,3.411,119,173,Valid
445,230,3.348,120,118,Valid
445,710,3.33,122,155,Valid
446,222,3.198,119,144,Valid
450,871,3.213,,129,Valid
451,399,3.36,117,283,Valid
451,871,3.028,120,206,Valid
452,415,2.901,120,47,Valid
452,879,2.863,122,49,Valid
453,343,3.249,120,129,Valid
453,823,3.238,122,164,Valid
454,343,2.858,119,117,Valid
454,863,2.304,125,20,Valid
455,335,2.586,115,177,Valid
455,879,2.728,117,113,Valid
456,384,2.558,119,25,Valid
456,880,3.157,115,222,Valid
457,416,3.439,113,196,Valid
457,976,3.815,107,172,Valid
465,593,3.739,41,120,Valid
466,81,3.376,120,174,Valid
466,569,3.01,125,168,Valid
467,73,2.809,122,110,Valid
467,577,2.779,117,119,Valid
468,57,2.934,120,162,Valid
468,569,2.789,120,122,Valid
469,65,2.878,120,133,Valid
469,569,2.733,120,106,Valid
470,81,3.391,117,214,Valid
477,322,2.591,57,23,Valid
477,786,2.743,120,78,Valid
478,314,3.043,113,201,Valid
478,818,2.936,115,168,Valid
479,346,2.619,117,92,Valid
479,842,2.268,120,74,Valid
480,330,2.515,117,211,Valid
480,890,2.35,120,51,Valid
481,370,2.672,115,110,Valid
481,890,2.365,117,31,Valid
482,434,2.908,115,218,Valid
489,891,3.183,,69,Valid
490,395,3.063,122,159,Valid
490,875,2.637,122,109,Valid
491,371,2.791,119,182,Valid
491,923,2.466,115,61,Valid
492,419,2.461,117,64,Valid
492,907,2.52,117,146,Valid
493,420,2.515,120,136,Valid
493,956,2.357,117,72,Valid
494,460,2.769,115,151,Valid
500,372,3.226,,0,Valid
500,812,3.096,120,104,Valid
501,284,2.532,127,103,Valid
501,812,2.489,115,119,Valid
502,317,2.294,120,102,Valid
502,821,2.261,119,93,Valid
503,325,2.215,115,130,Valid
503,893,2.062,111,46,Valid
504,365,2.235,119,107,Valid
504,877,1.933,122,65,Valid
505,405,2.169,111,129,Valid
505,957,1.996,113,39,Valid
506,437,2.291,117,100,Valid
506,949,2.383,119,107,Valid
507,461,2.487,117,124,Valid
507,981,2.276,120,65,Valid
508,461,2.438,117,116,Valid
508,981,2.25,120,66,Valid
509,461,2.258,122,95,Valid
509,949,2.377,117,129,Valid
510,469,2.41,120,93,Valid
510,989,2.38,113,102,Valid
511,510,2.029,122,0,Valid
511,982,2.431,115,144,Valid
512,510,2.449,119,94,Valid
512,998,2.489,120,107,Valid
513,502,2.492,120,98,Valid
514,22,2.273,115,59,Valid
514,510,2.469,117,146,Valid
515,54,2.39,115,97,Valid
515,550,2.438,119,90,Valid
516,30,2.71,122,133,Valid
516,534,2.606,122,92,Valid
