Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
120,576,3.917,108,186,Valid
121,120,3.599,110,162,Valid
121,688,3.147,108,129,Valid
122,160,3.238,115,260,Valid
123,208,3.815,58,207,Valid
123,696,3.373,127,166,Valid
124,193,3.396,119,202,Valid
124,697,3.259,120,178,Valid
125,169,3.132,131,131,Valid
125,697,3.381,104,192,Valid
126,161,3.155,138,195,Valid
126,705,2.944,115,118,Valid
127,169,2.946,125,128,Valid
127,625,3.117,125,183,Valid
128,97,3.101,131,191,Valid
128,561,2.863,133,128,Valid
129,41,3.287,117,217,Valid
129,529,2.746,136,130,Valid
129,937,2.416,147,64,Valid
130,353,2.532,136,81,Valid
130,705,2.228,170,84,Valid
131,889,1.913,50,80,Valid
132,345,2.875,125,236,Valid
132,865,3.152,117,231,Valid
133,426,3.01,113,89,Valid
133,962,3.393,110,186,Valid
134,490,2.929,115,112,Valid
134,994,3.099,111,151,Valid
135,506,2.931,119,165,Valid
136,34,2.731,117,111,Valid
136,546,2.959,110,160,Valid
137,74,3.099,117,172,Valid
137,618,2.819,113,115,Valid
138,106,2.863,117,160,Valid
138,666,2.588,113,89,Valid
139,170,2.83,111,164,Valid
139,690,2.728,117,189,Valid
148,187,2.972,,252,Valid
148,803,3.465,101,152,Valid
149,347,3.622,110,244,Valid
149,859,3.343,117,187,Valid
150,403,3.632,108,207,Valid
150,939,3.955,111,251,Valid
151,492,3.726,111,167,Valid
152,28,3.998,107,237,Valid
152,572,3.8,108,229,Valid
153,156,3.673,107,160,Valid
153,668,3.97,111,235,Valid
154,204,3.993,115,224,Valid
154,748,4.028,110,220,Valid
155,276,3.952,117,177,Valid
155,796,3.94,113,187,Valid
156,324,4.176,111,231,Valid
156,860,4.018,113,227,Valid
157,404,4.056,108,225,Valid
157,956,3.993,110,144,Valid
158,460,4.036,117,226,Valid
159,28,3.393,110,131,Valid
159,556,3.861,107,250,Valid
160,116,3.998,108,223,Valid
160,676,3.708,110,160,Valid
161,221,4.133,108,222,Valid
161,765,4.044,108,199,Valid
162,333,3.759,107,163,Valid
162,869,3.67,110,197,Valid
163,429,3.492,105,201,Valid
207,186,3.292,,216,Valid
207,674,3.556,125,293,Valid
208,666,4.013,60,162,Valid
209,202,3.815,119,266,Valid
209,706,3.526,111,296,Valid
210,282,3.531,113,121,Valid
210,778,3.861,115,197,Valid
211,330,4.374,105,234,Valid
211,858,4.78,115,324,Valid
212,322,4.29,125,294,Valid
212,874,4.049,115,172,Valid
213,402,3.904,117,36,Valid
213,914,4.729,115,284,Valid
214,362,4.097,120,278,Valid
214,890,4.049,119,261,Valid
215,410,3.95,117,202,Valid
215,938,4.11,111,155,Valid
216,403,4.016,125,212,Valid
216,923,3.668,120,200,Valid
217,443,3.482,117,175,Valid
217,955,3.627,115,184,Valid
218,459,3.691,117,209,Valid
218,963,3.65,117,223,Valid
219,507,3.617,113,181,Valid
220,43,4.061,110,245,Valid
220,571,3.716,115,177,Valid
221,99,4.089,110,266,Valid
221,619,4.133,117,233,Valid
222,155,4.089,111,219,Valid
222,691,4.341,111,251,Valid
223,227,4.211,111,187,Valid
223,731,4.486,117,282,Valid
224,259,4.214,119,204,Valid
224,747,4.42,117,273,Valid
225,316,4.242,107,174,Valid
225,812,4.562,117,340,Valid
226,356,4.204,115,217,Valid
226,860,4.082,120,148,Valid
227,348,4.227,119,196,Valid
227,876,4.321,111,237,Valid
228,396,4.069,117,244,Valid
230,28,3.495,,220,Valid
230,612,3.33,110,142,Valid
231,116,3.647,111,201,Valid
231,612,3.853,120,255,Valid
232,148,3.655,119,176,Valid
232,668,3.84,110,240,Valid
233,212,3.564,115,179,Valid
233,756,3.65,107,191,Valid
234,285,3.96,111,227,Valid
234,829,3.952,111,216,Valid
235,365,4.082,113,190,Valid
235,893,4.313,108,295,Valid
236,477,3.995,108,158,Valid
236,965,4.254,117,245,Valid
237,493,4.643,111,348,Valid
238,69,4.366,111,176,Valid
238,597,4.867,108,305,Valid
239,149,4.641,110,202,Valid
239,693,4.773,107,238,Valid
240,229,4.448,115,221,Valid
240,741,4.275,117,199,Valid
241,253,4.544,113,267,Valid
241,805,4.285,113,190,Valid
242,341,4.481,107,223,Valid
242,885,4.458,110,230,Valid
243,446,4.463,108,240,Valid
244,14,4.844,107,248,Valid
244,558,4.793,108,275,Valid
245,126,4.506,108,160,Valid
245,638,4.963,113,293,Valid
246,190,4.366,111,180,Valid
246,726,4.6,107,220,Valid
247,262,4.643,111,259,Valid
247,806,4.201,117,170,Valid
248,342,4.244,108,178,Valid
248,886,4.43,107,257,Valid
249,454,4.412,108,225,Valid
250,6,4.254,108,200,Valid
250,566,4.343,105,206,Valid
251,94,4.295,113,219,Valid
251,646,4.158,111,175,Valid
252,150,4.204,115,232,Valid
252,702,4.369,108,225,Valid
253,255,4.595,107,283,Valid
253,807,4.265,113,175,Valid
254,327,4.298,113,185,Valid
254,871,4.679,108,263,Valid
255,415,4.318,111,211,Valid
255,951,4.254,111,189,Valid
256,479,4.348,111,226,Valid
257,47,4.023,108,148,Valid
257,575,4.194,111,212,Valid
258,119,4.11,110,195,Valid
258,647,4.117,111,199,Valid
259,199,4.125,108,205,Valid
259,743,4.077,111,204,Valid
260,279,4.29,110,247,Valid
260,847,4.277,107,216,Valid
261,383,4.389,110,209,Valid
261,895,4.559,115,276,Valid
262,448,4.475,113,175,Valid
262,984,4.973,107,307,Valid
263,528,4.437,117,157,Valid
264,48,4.409,111,195,Valid
264,576,4.023,113,165,Valid
265,104,4.074,111,212,Valid
265,640,3.856,117,176,Valid
266,184,4.028,105,193,Valid
266,712,4.046,115,200,Valid
267,240,3.952,113,176,Valid
267,736,4.214,117,255,Valid
268,296,4.354,107,241,Valid
268,840,4.549,110,267,Valid
269,368,4.298,117,202,Valid
269,880,4.374,115,216,Valid
270,400,4.201,117,204,Valid
270,920,4.249,115,186,Valid
271,441,4.43,111,258,Valid
271,985,4.145,113,213,Valid
272,537,4.549,105,244,Valid
273,89,4.437,110,222,Valid
273,649,4.206,108,188,Valid
274,153,4.356,115,258,Valid
274,713,4.445,108,233,Valid
275,257,4.272,113,183,Valid
275,793,4.069,110,180,Valid
276,353,4.272,105,230,Valid
276,889,4.102,111,220,Valid
277,465,3.82,108,142,Valid
277,993,4.176,108,266,Valid
289,195,3.597,58,119,Valid
289,651,3.701,129,216,Valid
290,107,3.508,125,257,Valid
290,635,3.492,120,223,Valid
291,115,3.526,125,224,Valid
291,619,3.515,122,132,Valid
292,83,3.49,122,190,Valid
292,555,3.348,127,156,Valid
293,27,3.312,125,218,Valid
293,539,3.353,117,215,Valid
294,51,3.559,119,220,Valid
294,595,3.106,122,0,Valid
295,19,3.914,125,327,Valid
296,43,3.381,60,80,Valid
296,483,3.325,127,113,Valid
296,947,3.421,125,223,Valid
297,435,3.223,129,184,Valid
297,923,3.122,127,153,Valid
298,387,3.279,125,164,Valid
298,859,3.279,127,163,Valid
299,364,3.338,117,179,Valid
299,844,3.274,125,169,Valid
300,356,3.16,119,156,Valid
300,836,3.101,122,181,Valid
301,348,3.127,117,188,Valid
303,908,2.57,,104,Valid
304,428,2.461,127,117,Valid
304,900,2.39,127,134,Valid
305,348,2.703,127,199,Valid
305,828,2.736,127,191,Valid
306,356,2.619,119,138,Valid
306,828,3.01,125,157,Valid
307,340,3.035,115,189,Valid
307,844,2.924,125,149,Valid
308,309,3.096,127,164,Valid
308,781,3.025,127,144,Valid
309,269,2.962,122,156,Valid
309,749,2.913,127,141,Valid
310,229,2.858,120,149,Valid
310,725,3.002,122,156,Valid
311,221,3.066,120,169,Valid
311,701,3.129,122,175,Valid
312,205,2.982,120,137,Valid
312,701,3.094,119,172,Valid
313,205,3.127,119,167,Valid
313,709,3.238,122,165,Valid
314,197,3.353,119,181,Valid
314,701,3.147,120,161,Valid
315,181,3.127,122,171,Valid
315,685,3.106,120,140,Valid
316,189,3.145,115,169,Valid
316,709,2.936,119,133,Valid
317,206,2.913,120,134,Valid
317,710,2.977,117,164,Valid
318,214,2.875,122,140,Valid
318,694,2.929,122,153,Valid
319,198,2.99,119,145,Valid
319,694,3.124,117,182,Valid
